date,start_date,end_date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,Disaster Type
"DatetimeIndex(['1990-07-13 18:00:00+00:00', '1990-07-14 18:00:00+00:00',
               '1990-07-15 18:00:00+00:00', '1990-07-16 18:00:00+00:00',
               '1990-07-17 18:00:00+00:00', '1990-07-18 18:00:00+00:00',
               '1990-07-19 18:00:00+00:00', '1990-07-20 18:00:00+00:00',
               '1990-07-21 18:00:00+00:00', '1990-07-22 18:00:00+00:00',
               '1990-07-23 18:00:00+00:00', '1990-07-24 18:00:00+00:00',
               '1990-07-25 18:00:00+00:00', '1990-07-26 18:00:00+00:00',
               '1990-07-27 18:00:00+00:00', '1990-07-28 18:00:00+00:00',
               '1990-07-29 18:00:00+00:00', '1990-07-30 18:00:00+00:00',
               '1990-07-31 18:00:00+00:00', '1990-08-01 18:00:00+00:00',
               '1990-08-02 18:00:00+00:00', '1990-08-03 18:00:00+00:00',
               '1990-08-04 18:00:00+00:00', '1990-08-05 18:00:00+00:00',
               '1990-08-06 18:00:00+00:00', '1990-08-07 18:00:00+00:00',
               '1990-08-08 18:00:00+00:00', '1990-08-09 18:00:00+00:00',
               '1990-08-10 18:00:00+00:00', '1990-08-11 18:00:00+00:00',
               '1990-08-12 18:00:00+00:00', '1990-08-13 18:00:00+00:00',
               '1990-08-14 18:00:00+00:00', '1990-08-15 18:00:00+00:00',
               '1990-08-16 18:00:00+00:00', '1990-08-17 18:00:00+00:00',
               '1990-08-18 18:00:00+00:00', '1990-08-19 18:00:00+00:00',
               '1990-08-20 18:00:00+00:00', '1990-08-21 18:00:00+00:00',
               '1990-08-22 18:00:00+00:00', '1990-08-23 18:00:00+00:00',
               '1990-08-24 18:00:00+00:00', '1990-08-25 18:00:00+00:00',
               '1990-08-26 18:00:00+00:00', '1990-08-27 18:00:00+00:00',
               '1990-08-28 18:00:00+00:00', '1990-08-29 18:00:00+00:00',
               '1990-08-30 18:00:00+00:00', '1990-08-31 18:00:00+00:00',
               '1990-09-01 18:00:00+00:00', '1990-09-02 18:00:00+00:00',
               '1990-09-03 18:00:00+00:00', '1990-09-04 18:00:00+00:00',
               '1990-09-05 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1990-07-14,1990-09-06,55.50909,28.69727,25.492725,26.78417,13.492727,13.492727,25.147856,38.068363,166.07922,15.491454,Flood
"DatetimeIndex(['1990-10-07 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-10-08,1990-10-08,63.0,26.65,24.85,25.629166,25.0,25.0,36.79756,56.519997,149.33868,6.33,Storm
"DatetimeIndex(['1990-12-28 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-12-29,1990-12-29,3.0,23.25,15.75,18.575,0.0,0.0,10.086427,16.56,347.33142,16.38,Extreme temperature 
"DatetimeIndex(['1989-12-31 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-01-01,1990-01-01,0.0,24.5,15.25,19.443748,0.0,0.0,19.416653,29.16,354.26022,17.02,Extreme temperature 
"DatetimeIndex(['1990-12-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-12-21,1990-12-21,0.0,23.4,17.3,20.141665,0.0,0.0,11.753876,18.72,334.12622,15.98,Storm
"DatetimeIndex(['1991-04-28 18:00:00+00:00', '1991-04-29 18:00:00+00:00',
               '1991-04-30 18:00:00+00:00', '1991-05-01 18:00:00+00:00',
               '1991-05-02 18:00:00+00:00', '1991-05-03 18:00:00+00:00',
               '1991-05-04 18:00:00+00:00', '1991-05-05 18:00:00+00:00',
               '1991-05-06 18:00:00+00:00', '1991-05-07 18:00:00+00:00',
               '1991-05-08 18:00:00+00:00', '1991-05-09 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1991-04-29,1991-05-10,59.166668,29.204168,25.341667,27.001562,31.724997,31.724997,41.166794,65.52,164.18565,15.897499,Storm
"DatetimeIndex(['1991-05-06 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1991-05-07,1991-05-07,51.0,29.25,25.35,27.527082,2.4,2.4,37.191677,55.44,172.31447,18.53,Storm
"DatetimeIndex(['1991-09-01 18:00:00+00:00', '1991-09-02 18:00:00+00:00',
               '1991-09-03 18:00:00+00:00', '1991-09-04 18:00:00+00:00',
               '1991-09-05 18:00:00+00:00', '1991-09-06 18:00:00+00:00',
               '1991-09-07 18:00:00+00:00', '1991-09-08 18:00:00+00:00',
               '1991-09-09 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1991-09-02,1991-09-10,58.11111,27.944443,25.372223,26.452082,13.888888,13.888888,22.979034,35.48,174.26706,12.904445,Flood
"DatetimeIndex(['1991-05-13 18:00:00+00:00', '1991-05-14 18:00:00+00:00',
               '1991-05-15 18:00:00+00:00', '1991-05-16 18:00:00+00:00',
               '1991-05-17 18:00:00+00:00', '1991-05-18 18:00:00+00:00',
               '1991-05-19 18:00:00+00:00', '1991-05-20 18:00:00+00:00',
               '1991-05-21 18:00:00+00:00', '1991-05-22 18:00:00+00:00',
               '1991-05-23 18:00:00+00:00', '1991-05-24 18:00:00+00:00',
               '1991-05-25 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1991-05-14,1991-05-26,57.153847,29.923075,26.05,27.797596,7.130769,7.130769,25.63574,38.104618,186.21878,20.256924,Flood
"DatetimeIndex(['1991-12-23 18:00:00+00:00', '1991-12-24 18:00:00+00:00',
               '1991-12-25 18:00:00+00:00', '1991-12-26 18:00:00+00:00',
               '1991-12-27 18:00:00+00:00', '1991-12-28 18:00:00+00:00',
               '1991-12-29 18:00:00+00:00', '1991-12-30 18:00:00+00:00',
               '1991-12-31 18:00:00+00:00', '1992-01-01 18:00:00+00:00',
               '1992-01-02 18:00:00+00:00', '1992-01-03 18:00:00+00:00',
               '1992-01-04 18:00:00+00:00', '1992-01-05 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1991-12-24,1992-01-06,11.571428,21.689287,15.325,18.386755,0.13571429,0.13571429,18.368902,27.745712,294.31595,14.894999,Extreme temperature 
